ASV ALR.R.1 ALR.R.2 ALR.R.3 ALR.R.4 ALR.R.5 ALR.R.6 ALR.R.7 ALR.R.8 ARH.R.1 ARH.R.2 ARH.R.3 ARH.R.4 ARH.R.5 ARH.R.6 ARH.R.7 ARH.R.8 FAU.R.1 FAU.R.2 FAU.R.3 FAU.R.4 FAU.R.5 FAU.R.6 FAU.R.7 FAU.R.8 GUD.R.1 GUD.R.2 GUD.R.3 GUD.R.4 GUD.R.5 GUD.R.7 GUD.R.8 HOG.R.1 HOG.R.2 HOG.R.3 HOG.R.4 HOG.R.5 HOG.R.6 HOG.R.7 HOG.R.8 LAV.R.1 LAV.R.2 LAV.R.3 LAV.R.4 LAV.R.5 LAV.R.6 LAV.R.7 LAV.R.8 OVS.R.1 OVS.R.2 OVS.R.3 OVS.R.4 OVS.R.5 OVS.R.6 OVS.R.7 OVS.R.8 RAM.R.1 RAM.R.2 RAM.R.3 RAM.R.4 RAM.R.5 RAM.R.6 RAM.R.7 RAM.R.8 SKJ.R.1 SKJ.R.2 SKJ.R.3 SKJ.R.4 SKJ.R.5 SKJ.R.6 SKJ.R.7 SKJ.R.8 ULV2.R.1 ULV2.R.2 ULV2.R.3 ULV2.R.4 ULV2.R.5 ULV2.R.6 ULV2.R.7 ULV2.R.8 VES.R.1 VES.R.2 VES.R.3 VES.R.4 VES.R.5 VES.R.6 VES.R.7 VES.R.8 VIK.R.1 VIK.R.2 VIK.R.3 VIK.R.4 VIK.R.5 VIK.R.6 VIK.R.7 VIK.R.8
ASV_2 10 30 19 35 51 31 0 0 8 166 10 0 0 70 18 82 39 0 0 27 36 14 8 7 0 214 10 68 0 1 0 4 384 12 108 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 4 63 126 4 0 0 0 0 0 2 5 138 0 512 13 0 10 0 0 304 2 233 78 0 0 0 21 49 73 357 12 16 156 248 0 0 0 0
ASV_3 6 5 24 0 2 68 2 42 0 0 1 0 0 8 5 45 32 0 2 12 2 4 0 16 0 3 15 1 0 12 3 4 249 16 8 3 39 15 6 6 311 38 31 6 175 36 3 11 131 56 3 2 34 16 0 48 0 6 29 8 0 0 0 0 1 0 1 0 421 8 0 6 6 43 25 0 18 0 21 25 3 41 8 76 207 274 123 1 43 12 18 1 105 106 0
ASV_4 0 0 0 0 8 0 9 0 21 6 0 0 0 0 219 26 188 94 8 26 6 47 126 42 18 4 4 7 0 4 105 40 68 138 58 36 60 52 106 0 0 0 12 16 30 38 23 0 7 13 113 34 43 15 0 0 0 32 94 215 253 0 0 2 0 11 55 0 0 25 6 0 18 0 0 143 0 0 11 0 44 6 0 14 56 18 34 19 101 2 0 26 104 135 0
ASV_5 0 0 0 0 0 0 68 0 0 0 0 1 0 12 0 0 0 228 0 0 0 0 1305 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ASV_6 0 0 0 0 1 0 0 0 108 4 130 127 0 0 68 31 62 0 0 0 0 6 0 0 5 0 0 1 0 0 0 57 0 0 88 0 5 0 0 0 1161 0 0 0 0 0 0 0 188 0 0 566 0 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 104 3 0 0 0 0 0 0 2 0 0 0 0 0 0 0 3 0 0 0 0 0 0
ASV_7 0 0 0 0 0 0 0 0 0 0 4 0 0 0 54 0 0 0 0 0 0 0 0 0 0 409 645 0 0 1 0 0 3 0 0 2 0 0 0 0 0 0 0 0 0 0 0 940 0 0 0 0 2 0 0 0 0 0 55 351 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 48 6 0 0 0 0 0 0 0 0 0 0 7 2 0 0 0 0 0
ASV_9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 64 0 0 0 0 12 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 118 0 747 66 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 6 0 0 0 368 39 997 0 0 0 0 0 0 0 0 0 0 0 0 0 28 0 0 0
ASV_10 9 0 21 0 0 0 0 0 14 1 6 0 0 0 0 4 29 0 0 0 15 6 0 5 38 4 8 0 0 0 102 117 52 0 133 40 46 61 0 0 0 0 14 23 0 0 0 0 142 957 43 379 82 9 89 4 0 2 6 0 0 0 0 0 2 7 0 0 32 0 0 0 0 40 16 0 0 89 0 22 0 2 2 0 0 0 0 200 16 7 10 103 159 72 0
ASV_11 0 0 0 0 0 51 0 0 0 0 7 0 21 0 81 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 10 58 8 4 11 29 12 0 0 0 0 0 0 0 0 68 1 32 160 80 179 49 0 481 0 30 124 459 3 0 0 0 0 4 0 0 0 215 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 46 0 0 149 98 66 0
ASV_12 32 10 30 33 0 22 91 0 1 1 3 0 0 1 0 0 46 0 32 35 28 526 12 0 0 11 1 8 0 0 0 0 0 47 0 0 0 0 0 11 0 0 0 17 0 0 0 0 0 1 0 1 144 5 8 2 0 1 0 0 0 19 2 311 25 17 99 0 5 154 250 0 4 6 44 0 47 22 69 0 38 54 16 13 3 1 111 15 4 203 0 1 0 0 0
ASV_13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 710 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ASV_14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 612 1 20 0 650 1 101 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
ASV_15 0 0 0 0 22 0 182 1 0 0 1 0 28 158 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 326 0 0 0 0 0 0 0 0 24 0 0 0 0 221 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 311 0 1 764 0 0 126 0 0 0 0
