ASV domain phylum class order family genus species
ASV_9 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae NA NA
ASV_10 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae NA NA
ASV_12 Bacteria Actinobacteriota Actinobacteria Frankiales Acidothermaceae Acidothermus NA
ASV_13 Bacteria Firmicutes Bacilli Bacillales NA NA NA
ASV_14 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae NA NA
ASV_16 Bacteria Firmicutes Bacilli Bacillales Bacillaceae NA NA
ASV_17 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales Solirubrobacteraceae Conexibacter NA
ASV_20 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae NA NA
ASV_21 Bacteria Actinobacteriota Actinobacteria Kineosporiales Kineosporiaceae NA NA
ASV_22 Bacteria Bacteroidota Bacteroidia Chitinophagales Chitinophagaceae Puia NA
ASV_23 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Beijerinckiaceae Roseiarcus NA
ASV_24 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae NA NA
ASV_25 Bacteria Actinobacteriota Actinobacteria Kineosporiales Kineosporiaceae NA NA
ASV_26 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae NA NA
ASV_27 Bacteria Actinobacteriota Actinobacteria Streptomycetales Streptomycetaceae Streptomyces NA
ASV_28 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Comamonadaceae Leptothrix NA
ASV_30 Bacteria Actinobacteriota Actinobacteria Streptomycetales Streptomycetaceae Streptomyces NA
ASV_31 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Comamonadaceae NA NA
ASV_32 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Comamonadaceae NA NA
ASV_33 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Comamonadaceae Leptothrix NA
ASV_34 Bacteria Actinobacteriota Actinobacteria Kineosporiales Kineosporiaceae NA NA
ASV_35 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales Solirubrobacteraceae Conexibacter NA
ASV_36 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales NA NA NA
ASV_37 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales Solirubrobacteraceae NA NA
ASV_38 Bacteria Proteobacteria Alphaproteobacteria NA NA NA NA
ASV_39 Bacteria Actinobacteriota Actinobacteria Propionibacteriales Nocardioidaceae Nocardioides NA
ASV_40 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Rhizobiaceae Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium NA
ASV_41 Bacteria Myxococcota Polyangia Polyangiales BIrii41 NA NA
ASV_42 Bacteria Actinobacteriota Actinobacteria Micromonosporales Micromonosporaceae Actinoplanes NA
ASV_43 Bacteria Acidobacteriota Acidobacteriae Solibacterales Solibacteraceae Candidatus Solibacter NA
ASV_44 Bacteria Actinobacteriota Actinobacteria Streptomycetales Streptomycetaceae Streptomyces NA
ASV_45 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Rhizobiaceae Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium NA
ASV_46 Bacteria Actinobacteriota Actinobacteria Frankiales Acidothermaceae Acidothermus NA
ASV_47 Bacteria Actinobacteriota Actinobacteria Micromonosporales Micromonosporaceae Actinoplanes NA
ASV_48 Bacteria Actinobacteriota Actinobacteria Micrococcales Microbacteriaceae NA NA
ASV_49 Bacteria Verrucomicrobiota Verrucomicrobiae Chthoniobacterales Chthoniobacteraceae Candidatus Udaeobacter NA
ASV_50 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales NA NA NA
ASV_51 Bacteria Proteobacteria Alphaproteobacteria Reyranellales Reyranellaceae Reyranella NA
ASV_52 Bacteria Actinobacteriota Thermoleophilia Gaiellales Gaiellaceae Gaiella NA
ASV_53 Bacteria Actinobacteriota Actinobacteria Micrococcales Microbacteriaceae NA NA
ASV_54 Bacteria Actinobacteriota Actinobacteria Corynebacteriales Mycobacteriaceae Mycobacterium NA
ASV_55 Bacteria Proteobacteria Gammaproteobacteria WD260 NA NA NA
ASV_56 Bacteria Proteobacteria Alphaproteobacteria Acetobacterales Acetobacteraceae NA NA
ASV_57 Bacteria Actinobacteriota Actinobacteria Corynebacteriales Mycobacteriaceae Mycobacterium NA
ASV_58 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae NA NA
ASV_59 Bacteria Myxococcota Polyangia Polyangiales BIrii41 NA NA
ASV_60 Bacteria Myxococcota Polyangia Polyangiales BIrii41 NA NA
ASV_61 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales Solirubrobacteraceae Conexibacter NA
