ASV kingdom phylum class order family genus species
ASV_2 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_3 Fungi Ascomycota Leotiomycetes Helotiales NA NA Helotiales_sp
ASV_4 Fungi Ascomycota Leotiomycetes Helotiales Dermateaceae NA NA
ASV_5 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Lachnum NA
ASV_6 Fungi Basidiomycota Agaricomycetes Agaricales Tricholomataceae Mycena NA
ASV_7 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Lachnum NA
ASV_9 Fungi Basidiomycota Agaricomycetes Agaricales NA NA NA
ASV_10 Fungi Ascomycota Leotiomycetes Phacidiales Phacidiaceae Gremmenia Gremmenia_infestans
ASV_11 Fungi Ascomycota Leotiomycetes Helotiales Dermateaceae NA NA
ASV_12 Fungi Ascomycota Dothideomycetes Pleosporales NA NA Pleosporales_sp
ASV_13 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Lachnum NA
ASV_14 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Lachnum NA
ASV_15 Fungi Ascomycota Leotiomycetes Helotiales NA NA Helotiales_sp
ASV_16 Fungi Ascomycota Leotiomycetes Helotiales Helotiales_fam_Incertae_sedis NA NA
ASV_18 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Lachnum NA
ASV_19 Fungi Basidiomycota Agaricomycetes Auriculariales NA NA Auriculariales_sp
ASV_20 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Lachnum NA
ASV_21 Fungi Ascomycota Leotiomycetes Helotiales NA NA Helotiales_sp
ASV_22 Fungi Ascomycota NA NA NA NA NA
ASV_24 Fungi Basidiomycota Agaricomycetes Agaricales Tricholomataceae Mycena Mycena_sp
ASV_25 Fungi Ascomycota Leotiomycetes Phacidiales Phacidiaceae Gremmenia Gremmenia_infestans
ASV_26 Fungi Ascomycota Leotiomycetes Helotiales Helotiaceae NA Helotiaceae_sp
ASV_27 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Lachnum NA
ASV_28 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_29 Fungi Ascomycota NA NA NA NA NA
ASV_30 Fungi Ascomycota Sordariomycetes Magnaporthales Magnaporthaceae Slopeiomyces Slopeiomyces_cylindrosporus
ASV_31 Fungi Basidiomycota Agaricomycetes Agaricales Tricholomataceae Mycena NA
ASV_32 Fungi NA NA NA NA NA Fungi_sp
ASV_33 Fungi Basidiomycota Agaricomycetes Atheliales Atheliaceae Amphinema Amphinema_byssoides
ASV_34 Fungi Basidiomycota Tremellomycetes Tremellales Tremellaceae Filobasidiella Filobasidiella_sp
ASV_36 Fungi Basidiomycota Agaricomycetes Thelephorales Thelephoraceae Tomentella Tomentella_sp
ASV_38 Fungi Ascomycota Leotiomycetes Rhytismatales Rhytismataceae Coccomyces Coccomyces_sp
ASV_40 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Lachnum NA
ASV_41 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Lachnum NA
ASV_42 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Lachnum NA
ASV_44 Fungi Ascomycota Dothideomycetes Pleosporales Pleosporaceae Drechslera Drechslera_sp
ASV_45 Fungi Ascomycota Dothideomycetes Pleosporales Phaeosphaeriaceae Ophiosphaerella Ophiosphaerella_sp
ASV_47 Fungi Ascomycota NA NA NA NA NA
ASV_48 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Lachnum NA
ASV_49 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae NA NA
ASV_50 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Lachnum NA
ASV_51 Fungi Ascomycota Leotiomycetes Helotiales Helotiales_fam_Incertae_sedis NA NA
ASV_52 Fungi Ascomycota Sordariomycetes Magnaporthales Magnaporthaceae NA NA
ASV_53 Fungi Basidiomycota Tremellomycetes Filobasidiales Piskurozymaceae Solicoccozyma Solicoccozyma_terricola
ASV_54 Fungi Ascomycota Leotiomycetes Helotiales Vibrisseaceae Vibrissea NA
ASV_55 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_56 Fungi Ascomycota Sordariomycetes NA NA NA Sordariomycetes_sp
ASV_57 Fungi NA NA NA NA NA NA
ASV_58 Fungi Basidiomycota Agaricomycetes Agaricales NA NA NA
ASV_59 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_60 Fungi Ascomycota Dothideomycetes Pleosporales Melanommataceae NA NA
ASV_61 Fungi Basidiomycota Agaricomycetes Trechisporales Hydnodontaceae NA Hydnodontaceae_sp
ASV_62 Fungi Basidiomycota Agaricomycetes Agaricales Clavariaceae Camarophyllopsis Camarophyllopsis_schulzeri
ASV_63 Fungi Ascomycota Leotiomycetes Helotiales Vibrisseaceae Vibrissea Vibrissea_sp
ASV_64 Fungi Ascomycota Leotiomycetes Helotiales Helotiales_fam_Incertae_sedis NA NA
ASV_65 Fungi Ascomycota Eurotiomycetes Chaetothyriales NA NA NA
ASV_66 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Lachnum NA
ASV_67 Fungi Ascomycota Leotiomycetes Helotiales NA NA Helotiales_sp
ASV_68 Fungi Basidiomycota Tremellomycetes Trichosporonales Trichosporonaceae Apiotrichum NA
ASV_69 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Lachnum NA
ASV_70 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_71 Fungi Basidiomycota Agaricomycetes NA NA NA Agaricomycetes_sp
ASV_72 Fungi Ascomycota Leotiomycetes Helotiales NA NA Helotiales_sp
ASV_74 Fungi Ascomycota Leotiomycetes Helotiales NA NA Helotiales_sp
