site sample.code location siteID replicate precipitation temperature T.grid P.grid
ALR.R.1 ALR.R.1 ALR Alrust 1 600 8.5 9.13926 788.647
ALR.R.2 ALR.R.2 ALR Alrust 2 600 8.5 9.13926 788.647
ALR.R.3 ALR.R.3 ALR Alrust 3 600 8.5 9.13926 788.647
ALR.R.4 ALR.R.4 ALR Alrust 4 600 8.5 9.13926 788.647
ALR.R.5 ALR.R.5 ALR Alrust 5 600 8.5 9.13926 788.647
ALR.R.6 ALR.R.6 ALR Alrust 6 600 8.5 9.13926 788.647
ALR.R.7 ALR.R.7 ALR Alrust 7 600 8.5 9.13926 788.647
ALR.R.8 ALR.R.8 ALR Alrust 8 600 8.5 9.13926 788.647
ARH.R.1 ARH.R.1 ARH Arhelleren 1 2000 10.5 10.5975 2043.64
ARH.R.2 ARH.R.2 ARH Arhelleren 2 2000 10.5 10.5975 2043.64
ARH.R.3 ARH.R.3 ARH Arhelleren 3 2000 10.5 10.5975 2043.64
ARH.R.4 ARH.R.4 ARH Arhelleren 4 2000 10.5 10.5975 2043.64
ARH.R.5 ARH.R.5 ARH Arhelleren 5 2000 10.5 10.5975 2043.64
ARH.R.6 ARH.R.6 ARH Arhelleren 6 2000 10.5 10.5975 2043.64
ARH.R.7 ARH.R.7 ARH Arhelleren 7 2000 10.5 10.5975 2043.64
ARH.R.8 ARH.R.8 ARH Arhelleren 8 2000 10.5 10.5975 2043.64
FAU.R.1 FAU.R.1 FAU Fauske 1 600 10.5 10.3 600
FAU.R.2 FAU.R.2 FAU Fauske 2 600 10.5 10.3 600
FAU.R.3 FAU.R.3 FAU Fauske 3 600 10.5 10.3 600
FAU.R.4 FAU.R.4 FAU Fauske 4 600 10.5 10.3 600
FAU.R.5 FAU.R.5 FAU Fauske 5 600 10.5 10.3 600
FAU.R.6 FAU.R.6 FAU Fauske 6 600 10.5 10.3 600
FAU.R.7 FAU.R.7 FAU Fauske 7 600 10.5 10.3 600
FAU.R.8 FAU.R.8 FAU Fauske 8 600 10.5 10.3 600
GUD.R.1 GUD.R.1 GUD Gudmedalen 1 2000 6.5 5.86638 1924.6
GUD.R.2 GUD.R.2 GUD Gudmedalen 2 2000 6.5 5.86638 1924.6
GUD.R.3 GUD.R.3 GUD Gudmedalen 3 2000 6.5 5.86638 1924.6
GUD.R.4 GUD.R.4 GUD Gudmedalen 4 2000 6.5 5.86638 1924.6
GUD.R.5 GUD.R.5 GUD Gudmedalen 5 2000 6.5 5.86638 1924.6
GUD.R.7 GUD.R.7 GUD Gudmedalen 7 2000 6.5 5.86638 1924.6
GUD.R.8 GUD.R.8 GUD Gudmedalen 8 2000 6.5 5.86638 1924.6
HOG.R.1 HOG.R.1 HOG Hogsete 1 1200 8.5 9.16749 1356.21
HOG.R.2 HOG.R.2 HOG Hogsete 2 1200 8.5 9.16749 1356.21
HOG.R.3 HOG.R.3 HOG Hogsete 3 1200 8.5 9.16749 1356.21
HOG.R.4 HOG.R.4 HOG Hogsete 4 1200 8.5 9.16749 1356.21
HOG.R.5 HOG.R.5 HOG Hogsete 5 1200 8.5 9.16749 1356.21
HOG.R.6 HOG.R.6 HOG Hogsete 6 1200 8.5 9.16749 1356.21
HOG.R.7 HOG.R.7 HOG Hogsete 7 1200 8.5 9.16749 1356.21
HOG.R.8 HOG.R.8 HOG Hogsete 8 1200 8.5 9.16749 1356.21
LAV.R.1 LAV.R.1 LAV Lavisdalen 1 1200 6.5 6.45452 1320.5
LAV.R.2 LAV.R.2 LAV Lavisdalen 2 1200 6.5 6.45452 1320.5
LAV.R.3 LAV.R.3 LAV Lavisdalen 3 1200 6.5 6.45452 1320.5
LAV.R.4 LAV.R.4 LAV Lavisdalen 4 1200 6.5 6.45452 1320.5
LAV.R.5 LAV.R.5 LAV Lavisdalen 5 1200 6.5 6.45452 1320.5
LAV.R.6 LAV.R.6 LAV Lavisdalen 6 1200 6.5 6.45452 1320.5
LAV.R.7 LAV.R.7 LAV Lavisdalen 7 1200 6.5 6.45452 1320.5
LAV.R.8 LAV.R.8 LAV Lavisdalen 8 1200 6.5 6.45452 1320.5
OVS.R.1 OVS.R.1 OVS Ovstedalen 1 2700 10.5 10.7775 2923.19
OVS.R.2 OVS.R.2 OVS Ovstedalen 2 2700 10.5 10.7775 2923.19
OVS.R.3 OVS.R.3 OVS Ovstedalen 3 2700 10.5 10.7775 2923.19
OVS.R.4 OVS.R.4 OVS Ovstedalen 4 2700 10.5 10.7775 2923.19
OVS.R.5 OVS.R.5 OVS Ovstedalen 5 2700 10.5 10.7775 2923.19
OVS.R.6 OVS.R.6 OVS Ovstedalen 6 2700 10.5 10.7775 2923.19
OVS.R.7 OVS.R.7 OVS Ovstedalen 7 2700 10.5 10.7775 2923.19
OVS.R.8 OVS.R.8 OVS Ovstedalen 8 2700 10.5 10.7775 2923.19
RAM.R.1 RAM.R.1 RAM Rambera 1 2000 8.5 8.76748 1848.17
RAM.R.2 RAM.R.2 RAM Rambera 2 2000 8.5 8.76748 1848.17
RAM.R.3 RAM.R.3 RAM Rambera 3 2000 8.5 8.76748 1848.17
RAM.R.4 RAM.R.4 RAM Rambera 4 2000 8.5 8.76748 1848.17
RAM.R.5 RAM.R.5 RAM Rambera 5 2000 8.5 8.76748 1848.17
RAM.R.6 RAM.R.6 RAM Rambera 6 2000 8.5 8.76748 1848.17
RAM.R.7 RAM.R.7 RAM Rambera 7 2000 8.5 8.76748 1848.17
RAM.R.8 RAM.R.8 RAM Rambera 8 2000 8.5 8.76748 1848.17
SKJ.R.1 SKJ.R.1 SKJ Skjelingahaugen 1 2700 6.5 6.57624 2724.85
SKJ.R.2 SKJ.R.2 SKJ Skjelingahaugen 2 2700 6.5 6.57624 2724.85
SKJ.R.3 SKJ.R.3 SKJ Skjelingahaugen 3 2700 6.5 6.57624 2724.85
SKJ.R.4 SKJ.R.4 SKJ Skjelingahaugen 4 2700 6.5 6.57624 2724.85
SKJ.R.5 SKJ.R.5 SKJ Skjelingahaugen 5 2700 6.5 6.57624 2724.85
SKJ.R.6 SKJ.R.6 SKJ Skjelingahaugen 6 2700 6.5 6.57624 2724.85
SKJ.R.7 SKJ.R.7 SKJ Skjelingahaugen 7 2700 6.5 6.57624 2724.85
SKJ.R.8 SKJ.R.8 SKJ Skjelingahaugen 8 2700 6.5 6.57624 2724.85
ULV2.R.1 ULV2.R.1 ULV Ulvehaugen 1 600 6.5 6.16848 596.348
ULV2.R.2 ULV2.R.2 ULV Ulvehaugen 2 600 6.5 6.16848 596.348
ULV2.R.3 ULV2.R.3 ULV Ulvehaugen 3 600 6.5 6.16848 596.348
ULV2.R.4 ULV2.R.4 ULV Ulvehaugen 4 600 6.5 6.16848 596.348
ULV2.R.5 ULV2.R.5 ULV Ulvehaugen 5 600 6.5 6.16848 596.348
ULV2.R.6 ULV2.R.6 ULV Ulvehaugen 6 600 6.5 6.16848 596.348
ULV2.R.7 ULV2.R.7 ULV Ulvehaugen 7 600 6.5 6.16848 596.348
ULV2.R.8 ULV2.R.8 ULV Ulvehaugen 8 600 6.5 6.16848 596.348
VES.R.1 VES.R.1 VES Veskre 1 2700 8.5 8.66692 3028.69
VES.R.2 VES.R.2 VES Veskre 2 2700 8.5 8.66692 3028.69
VES.R.3 VES.R.3 VES Veskre 3 2700 8.5 8.66692 3028.69
VES.R.4 VES.R.4 VES Veskre 4 2700 8.5 8.66692 3028.69
VES.R.5 VES.R.5 VES Veskre 5 2700 8.5 8.66692 3028.69
VES.R.6 VES.R.6 VES Veskre 6 2700 8.5 8.66692 3028.69
VES.R.7 VES.R.7 VES Veskre 7 2700 8.5 8.66692 3028.69
VES.R.8 VES.R.8 VES Veskre 8 2700 8.5 8.66692 3028.69
VIK.R.1 VIK.R.1 VIK Vikesland 1 1200 10.5 10.5541 1161.14
VIK.R.2 VIK.R.2 VIK Vikesland 2 1200 10.5 10.5541 1161.14
VIK.R.3 VIK.R.3 VIK Vikesland 3 1200 10.5 10.5541 1161.14
VIK.R.4 VIK.R.4 VIK Vikesland 4 1200 10.5 10.5541 1161.14
VIK.R.5 VIK.R.5 VIK Vikesland 5 1200 10.5 10.5541 1161.14
VIK.R.6 VIK.R.6 VIK Vikesland 6 1200 10.5 10.5541 1161.14
VIK.R.7 VIK.R.7 VIK Vikesland 7 1200 10.5 10.5541 1161.14
